,DEVELOPER,PUBLISHER,BASE PRICE,Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,Movie,RPG,Racing,Simulation,Sports,Strategy,LAN Co-op,Online Co-op,Online PvP,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player
864,Witty Minx,Witty Minx,44.99,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1
865,"Noio,Licorice",Raw Fury,19.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
866,Studio Sai,"Studio Sai,Kepler Ghost",24.99,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
867,Gniller,Gniller,7.99,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1
868,Campo Santo,"Panic,Campo Santo",39.99,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
869,Matt Roszak,Matt Roszak,39.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
870,PlatinumGames,SEGA,0.99,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
871,Milkstone Studios,Milkstone Studios,0.0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1
872,Yin Games,Yin Games,24.99,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
873,YiFang Studio,2P Games,19.99,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1
874,Frima Studio,Kalypso Media,0.0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1
875,Hyper Hippo Games,Hyper Hippo Games,0.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1
876,"OMOCAT, LLC","OMOCAT, LLC",0.0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1
877,Steel Wool Studios,ScottGames,4.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
878,NEOWIZ,NEOWIZ,0.0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
879,Reality Pump Studios,"TopWare Interactive,ACE",9.99,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
880,Sinclair Strange,Sinclair Strange,39.99,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1
881,Inceton games,Inceton games,49.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
882,U.S. Army,U.S. Army,0.0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0
883,红星,风暴之刃工作室,19.99,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1
884,TLM Partners,TLM Partners,9.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
885,Cyanide Studio,Nacon,49.99,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1
886,FIVE-BN GAMES,FIVE-BN GAMES,0.0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1
887,MaFi Games,MaFi Games,0.0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0
888,Anvil Game Studios,Anvil Game Studios,34.99,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
889,SunRay Games,SunRay Games,39.99,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0
890,Frontier Developments,Frontier Developments,29.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0
891,"Rocketcat Games,Madgarden",Rocketcat Games,15.99,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
892,"CyberConnect2 Co., Ltd.",BANDAI NAMCO Entertainment,19.99,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
893,Art Games,SA Industry,59.99,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0
894,"Neonovice Co., Ltd.,SQUARE PIXELS","Neonovice Co., Ltd.",18.99,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
895,Euphoric Brothers,Euphoric Brothers,39.99,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1
896,Snkl Studio,Snkl Studio,4.99,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
897,Melancholia Studio,Thermite Games,24.99,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0
898,Eleon Game Studios,Eleon Game Studios,0.0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1
899,Kerberos Productions,Kerberos Productions,39.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
900,Illegal Turtle 🐢,Illegal Turtle 🐢,0.0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
901,Giant Army,Giant Army,24.99,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0
902,"Tero Lunkka,Mikko Seppälä",Tero Lunkka,49.99,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1
903,Gameloft,Gameloft,0.0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0
904,Snail Games USA,Snail Games USA,0.0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0
905,Grenaa Games,"Dear Villagers,Doyoyo Games",12.99,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
906,IronOak Games,Curve Games,6.99,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1
907,BANDAI NAMCO Entertainment Inc.,BANDAI NAMCO Entertainment,59.99,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0
908,panstasz,"Ysbryd Games,PLAYISM",24.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
909,Spiders,Focus Entertainment,8.99,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1
910,Artefacts Studio,"Dear Villagers,E-Home Entertainment",4.99,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0
911,RuneStorm,Devolver Digital,19.99,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
912,Naddic Games,Naddic Games,29.99,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0
913,Capcom,Capcom,0.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0
914,Stardock Entertainment,Stardock Entertainment,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1
915,BlackMark Studio,"Akella,Valkyrie Initiative",29.99,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
916,"Thekla, Inc.","Thekla, Inc.",0.0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1
917,Celeris,Celeris,6.99,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
918,Facepunch Studios,Facepunch Studios,19.99,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
919,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",5.99,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1
920,Monomi Park,Monomi Park,14.99,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1
921,Maxis,Electronic Arts,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
922,HypeTrain Digital,HypeTrain Digital,14.99,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0
923,Haemimont Games,Kalypso Media Digital,20.99,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
924,Ninja Theory,Ninja Theory,29.99,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
925,Creobit,8Floor,9.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
926,Aleksandr Golovkin,Aleksandr Golovkin,0.99,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1
927,BeamNG,BeamNG,59.99,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1
928,Might and Delight,Might and Delight,14.99,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0
929,crea-ture Studios Inc.,Nacon,7.99,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
930,"NetherRealm Studios,QLOC","Warner Bros. Games,Warner Bros. Interactive Entertainment",14.99,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0
931,Harebrained Schemes,Paradox Interactive,19.99,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
932,Cyanide Studio,Nacon,19.99,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
933,Cyanide Studios,Nacon,29.99,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1
934,East Side Games,East Side Games,14.99,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1
935,Asymmetric,Asymmetric,19.99,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0
936,Dinosaur Polo Club,Dinosaur Polo Club,9.99,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0
937,Fabio Ferrara,Chubby Pixel,0.0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0
938,BioWare,Electronic Arts,19.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
939,Blackbird Interactive,Gearbox Publishing,39.99,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
940,KIRA LLC,KIRA LLC,0.0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
941,PixelTail Games,PixelTail Games,24.99,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
942,GAMEYOND,GAMEYOND,4.99,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0
943,Triumph Studios,Paradox Interactive,24.99,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0
944,Bennett Foddy,Bennett Foddy,29.99,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
945,Marxnet,Marxnet,19.99,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
946,TetraScope,"HotchPotch K.K.,346lab Localization",34.99,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
947,Nexon Korea Corporation,Nexon America Inc.,9.99,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1
948,Redamz,Redamz,0.0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
949,Flippfly LLC,Flippfly LLC,29.99,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1
950,InnoGames,InnoGames,19.99,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
951,"Ocean Drive Studio, Inc.","Ocean Drive Studio, Inc.",39.99,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1
952,Paradox Development Studio,Paradox Interactive,39.99,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
953,KuKo,KuKo,0.0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0
954,Dani,Dani,9.99,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0
955,Fury Software,Slitherine Ltd.,0.0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
956,Sports Interactive,SEGA,59.99,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1
957,the_dobrokot,Volens Nolens Games,4.99,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1
958,D-Pad Studio,D-Pad Studio,19.99,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1
959,Tamsoft,"XSEED Games,Marvelous USA, Inc.,Marvelous",12.99,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0
960,DUCK,Sometimes You,29.99,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1
961,Milestone S.r.l.,Milestone S.r.l.,4.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
962,"2K Australia,Gearbox Software,Aspyr (Linux)","2K,Aspyr (Linux)",3.99,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
963,Visual Concepts,2K,19.99,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0
964,Soleil Ltd.,Bandai Namco Entertainment,19.99,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
965,QLOC,"FromSoftware, Inc,Bandai Namco Entertainment",1.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
966,The Coalition,Xbox Game Studios,29.99,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
967,Melancholia Studio,Thermite Games,29.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
968,"Asobimo, Inc.",Bandai Namco Entertainment,9.99,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0
969,Bitbox Ltd.,Bitbox Ltd.,29.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1
970,MINTROCKET,MINTROCKET,9.99,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1
971,Lavaflame2,Lavaflame2,9.99,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1
972,EarthWork Games,EarthWork Games,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
973,Visual Concepts,2K,29.99,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
974,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",29.99,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
975,ALT Lab,ALT Lab,19.99,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
976,Rainbow Studios,THQ Nordic,0.0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0
977,Render Cube,Toplitz Productions,0.0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
978,"Square Enix,M2 Co., Ltd.",Square Enix,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
979,Owlcat Games,"META Publishing,Owlcat Games",29.99,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
980,SUPERHOT Team,SUPERHOT Team,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
981,Toothless T-Rex,大きくて強い,29.99,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
982,Nadeo,Ubisoft,0.0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
983,The Swordman Studio,Spiral Up Games,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
984,Siege Camp,Siege Camp,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
985,34BigThings srl,🚀 Raiser Games,0.0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1
986,Considera Games LLC,Considera Core LLC,24.99,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1
987,"Ukrainian Bears,Hideo Milos","United Nations,Putin The Best,Ukrainian Bears",1.99,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
988,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",0.0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
989,Vladislav Castillo Gonzalez,Vladislav Castillo Gonzalez,19.99,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
990,OrangesGame Technology Limited,OrangesGame Technology Limited,24.99,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1
991,Improbable Worlds Limited,Improbable Worlds Limited,14.99,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
992,Estoty,SayGames,0.99,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
993,Frontier Developments,Frontier Developments,0.99,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1
994,Beetlewing,Beetlewing,24.99,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0
995,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",5.49,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0
996,BeautiFun Games,BeautiFun Games,3.99,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0
997,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",14.99,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
998,Colossal Order Ltd.,Paradox Interactive,6.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
999,Lince Works,Lince Works,69.99,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0
1000,Little Green Men Games,Little Green Men Games,44.99,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1001,"CHENGDU DREAMCALLER TECHNOLOGY CO.,LTD",YOUZU SINGAPORE PTE LTD,14.99,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1
1002,Vankrupt Games,Vankrupt Games,19.99,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1
1003,Caramel-Mocha Studio,LoveStoryProject,39.99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
1004,SEGA,SEGA,39.99,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1
1005,Quiet River,Quiet River,0.0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1006,Game-Labs,Game-Labs,29.99,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1007,Ryu Ga Gotoku Studio,SEGA,0.0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1
1008,Crackshell,Maximum Entertainment,19.99,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1009,FIVE-BN GAMES,FIVE-BN GAMES,24.99,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
1010,"Way York,SilverBlade",INDIECN,29.99,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1
1011,Blue Meridian,Crytivo,9.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1
1012,Triumph Studios,Paradox Interactive,0.0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1
1013,"Team Fray,McLeodGaming","Team Fray,McLeodGaming",19.99,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
1014,Snapshot Games Inc.,Snapshot Games Inc.,0.0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1
1015,Team17 Digital Ltd,Team17 Digital Ltd,39.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1016,Crytek,Crytek,39.99,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1
1017,Live Motion Games,"Live Motion Games,Frozen Way,PlayWay S.A.,Frozen District",0.99,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1
1018,Morteshka,HypeTrain Digital,9.99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
1019,Askiisoft,Devolver Digital,8.99,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1020,Microblast Games,SA Industry,0.0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1
1021,"CREATIVE ASSEMBLY,Feral Interactive (Linux),Feral Interactive (Mac)","SEGA,Feral Interactive (Linux),Feral Interactive (Mac)",0.0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1
1022,Moon Punch Studio,Toplitz Productions,2.99,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1
1023,Defiant Development,Defiant Development,0.0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0
1024,Infini-Brain Inc.,Infini-Brain Inc.,59.99,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1
1025,CI Games,CI Games,5.99,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0
1026,Virtys,Virtys,19.99,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1
1027,MY.GAMES,"MY.GAMES,The 4 Winds Entertainment (MENA and Turkey)",54.99,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0
1028,KONAMI,KONAMI,24.99,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0
1029,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",11.99,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1
1030,Acid Nerve,Devolver Digital,59.99,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
1031,Blackfire,Cimugames,39.99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
1032,Oddshot Games,Oddshot Games,39.99,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
1033,PlatSTUDIO,"PlatSTUDIO,AFBIK Studio",9.99,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0
1034,Ice Code Games,Good Shepherd Entertainment,1.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1035,2SD,KISS ltd,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1036,Lazy Bear Games,tinyBuild,12.99,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
1037,Gentlymad Studios,Assemble Entertainment,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1038,Heaven Brotherhood,GrabTheGames,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1039,Rebuilt Games,Rebuilt Games,19.99,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1040,Sports Interactive,SEGA,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1041,Wastelands Interactive,Conglomerate 5,0.99,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0
1042,Spicyhorse Games,Spicyhorse Games,19.99,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0
1043,Campo Santo,"Panic,Campo Santo",0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1044,Square Enix,Square Enix,49.99,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1
1045,BlackMill Games,BlackMill Games,29.99,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
1046,Square Enix,Square Enix,19.99,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
1047,Grease Monkey Games,Grease Monkey Games,0.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
1048,Dani,Dani,12.99,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0
1049,Spiders,Nacon,19.99,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1050,Doborog Games,Doborog Games,17.99,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0
1051,Jannik Nickel,Jannik Nickel,4.99,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
1052,Edelweiss,"XSEED Games,Marvelous USA, Inc.",29.99,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1053,Walternate Realities,Walternate Realities,14.99,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0
1054,Cyan Worlds Inc,Cyan Worlds Inc,4.99,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
1055,Brightrock Games,Brightrock Games,0.99,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
1056,Misc Games,Misc Games,0.99,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0
1057,Unknown Worlds Entertainment,Unknown Worlds Entertainment,3.99,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0
1058,Full Control Studios,Full Control,9.99,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0
1059,Brilliant Game Studios,Brilliant Game Studios,0.99,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1
1060,Dancing Dragon Games,Freedom Games,0.0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1
1061,HFM Games,HFM Games,17.99,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
1062,ATLUS,SEGA,14.99,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1063,Cyanide Studio,Focus Entertainment,4.99,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1
1064,Endnight Games Ltd,Newnight,29.99,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
1065,Digitalmindsoft,Digitalmindsoft,49.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1066,Uuvana Studios,Uuvana Studios,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
1067,SmashGames,SmashGames,24.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
1068,Ryu Ga Gotoku Studio,SEGA,39.99,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1069,"Barbedwire Studios,Digitalmindsoft",Digitalmindsoft,19.99,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1
1070,"Quantum Phoenix Studio,Michail Romanov,Denis Esie,Bogdan Rozymny,Artem Lynev,Artur Samoylenko",Quantum Phoenix Studio,0.0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1
1071,Fishing Planet LLC,Fishing Planet LLC,0.0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1
1072,BULKHEAD,BULKHEAD,24.99,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0
1073,FIVE-BN GAMES,FIVE-BN GAMES,0.0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
1074,Shiny Shoe,Good Shepherd Entertainment,5.99,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1
1075,Bay 12 Games,Kitfox Games,29.99,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1076,FuturLab,Square Enix,29.99,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
1077,Realm Archive,Realm Archive,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1078,"Redemption Road,Pixel Dash Studios",Tripwire Presents,0.0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1
1079,Agafonoff,Agafonoff,6.99,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1
1080,Fluppisoft,Fluppisoft,4.99,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
